id,name,lon,lat
119,Stile near: NY30939 21113,-3.069998,54.58048
120,Stile near: SD49352 85626,-2.7790835,54.263773
121,Stile near: SD61626 78681,-2.5897627,54.202429
122,Stile near: SD61403 78438,-2.5931468,54.200228
123,Stile near: NY73084 41693,-2.4198816,54.769437
124,Stile near: NY33209 03065,-3.0307866,54.418623
125,Stile near: SD51875 78595,-2.739214,54.200833
126,Stile near: SD51621 78673,-2.7431218,54.201508
127,Stile near: SD50529 79150,-2.7599394,54.205693
128,Stile near: SD49836 78971,-2.7705333,54.204021
129,Stile near: SD49927 78889,-2.7691295,54.203286
130,Stile near: SD51712 79283,-2.7418209,54.207001
131,Stile near: SD51743 79285,-2.7413427,54.207022
132,Stile near: NY41695 00022,-2.8994319,54.392318
133,Stile near: SD41439 99508,-2.9032727,54.387672
134,Stile near: SD52327 80342,-2.7325618,54.216581
135,Stile near: SD52383 80175,-2.7316763,54.215086
136,Stile near: SD52448 80077,-2.7306607,54.214204
137,Stile near: NY52408 28801,-2.7391259,54.652053
138,Stile near: NY52405 28816,-2.7391674,54.652188
139,Stile near: SD66733 92032,-2.5129609,54.322776
140,Stile near: SD66867 92530,-2.5109526,54.327256
141,Stile near: SD63388 93255,-2.5645358,54.333536
142,Stile near: SD63106 92143,-2.5687364,54.323521
143,Stile near: SD63005 92011,-2.5702743,54.322331
144,Stile near: NY77973 01498,-2.3408603,54.408458
145,Stile near: NY14784 04808,-3.3151553,54.431524
146,Stile near: SD47431 98992,-2.8109268,54.383692
147,Stile near: SD47247 96613,-2.8133371,54.36229
148,Stile near: SD47200 96826,-2.814104,54.364207
149,Stile near: SD45865 76795,-2.8310102,54.184059
150,Stile near: SD54993 78698,-2.691436,54.202045
151,Stile near: SD70737 87145,-2.4509283,54.279098
152,Stile near: SD70672 87297,-2.4519354,54.280467
153,Stile near: SD70463 87385,-2.4551543,54.281247
154,Stile near: SD57071 78731,-2.6595948,54.202521
155,Stile near: SD57046 78732,-2.6599814,54.202527
156,Stile near: SD57690 78909,-2.6501284,54.204169
157,Stile near: SD57733 78941,-2.6494729,54.204462
158,Stile near: SD57288 78815,-2.6562731,54.203289
159,Stile near: SD57231 78731,-2.65714,54.202531
160,Stile near: SD55352 82185,-2.6864631,54.233408
161,Stile near: SD55285 82271,-2.6874983,54.234177
162,Stile near: SD54641 81926,-2.697322,54.23102
163,Stile near: SD55505 80728,-2.6838895,54.220328
164,Stile near: SD55636 80668,-2.6818714,54.219802
165,Stile near: SD55776 80621,-2.6797257,54.21939
166,Stile near: SD55899 80619,-2.6778374,54.219385
167,Stile near: SD57148 77926,-2.6582987,54.195291
168,Stile near: SD57285 78126,-2.6562216,54.197103
169,Stile near: SD57933 78296,-2.6463116,54.198681
170,Stile near: SD58905 78483,-2.6314415,54.200437
171,Stile near: SD21350 87704,-3.2094439,54.278899
172,Stile near: SD25641 85747,-3.1430703,54.261959
173,Stile near: SD50439 83742,-2.7620806,54.24695
174,Stile near: SD50681 83871,-2.7583829,54.248136
175,Stile near: SD50777 83885,-2.7569156,54.248265
176,Stile near: SD50512 83133,-2.7608546,54.241484
177,Stile near: SD50351 82839,-2.7632774,54.238828
178,Stile near: SD50311 82844,-2.7639005,54.238869
179,Stile near: SD49949 82612,-2.7694066,54.236748
180,Stile near: SD50645 83382,-2.7588523,54.24374
181,Stile near: SD50230 82462,-2.7650689,54.235431
182,Stile near: SD50079 82452,-2.7673908,54.235322
183,Stile near: NY40513 00502,-2.917736,54.396501
184,Stile near: SD55693 79307,-2.6807985,54.207575
185,Stile near: SD39923 79176,-2.9225208,54.204791
186,Stile near: SD51063 88149,-2.7532283,54.286614
187,Stile near: SD51057 88399,-2.7533635,54.288858
188,Stile near: SD66832 80365,-2.5101447,54.217933
189,Stile near: SD59151 82111,-2.6281608,54.233067
190,Stile near: SD58984 83184,-2.6308829,54.242691
191,Stile near: NY40294 05454,-2.9221047,54.440968
192,Stile near: NY40565 06851,-2.9182109,54.453558
193,Stile near: NY26762 13596,-3.1327362,54.512357
194,Stile near: NY23283 12203,-3.1860863,54.499322
195,Stile near: NY00492 29216,-3.543654,54.648195
196,Stile near: SD69215 83281,-2.4738964,54.244286
197,Stile near: SD63381 83287,-2.5634239,54.243958
198,Stile near: SD54322 83221,-2.7024168,54.242634
199,Stile near: NY23585 11911,-3.1813556,54.496749
200,Stile near: NY23570 11966,-3.1816009,54.497234
201,Stile near: NY24660 14524,-3.1654321,54.520381
202,Stile near: NY24380 14509,-3.1697479,54.520208
203,Stile near: NY26901 13593,-3.1305846,54.512349
204,Stile near: SD55258 77824,-2.6872388,54.194215
205,Stile near: SD28848 79303,-3.0923104,54.204511
206,Stile near: SD24318 94532,-3.1656056,54.340705
207,Stile near: SD28381 89041,-3.1017913,54.291948
208,Stile near: NY08597 14805,-3.4135974,54.520262
209,Stile near: NY05380 06694,-3.4606681,54.446799
210,Stile near: NY05066 06568,-3.4654772,54.44561
211,Stile near: NY05013 06474,-3.4662562,54.444756
212,Stile near: NY12272 02941,-3.3533068,54.414322
213,Stile near: NY11718 03675,-3.362062,54.420818
214,Stile near: NY21939 02353,-3.2042366,54.410616
215,Stile near: SD09414 88849,-3.3930517,54.287209
216,Stile near: SD09413 88500,-3.3929522,54.284078
217,Stile near: SD09549 86793,-3.3903469,54.268766
218,Stile near: SD20487 89595,-3.2231905,54.295756
219,Stile near: SD21490 90308,-3.207971,54.302317
220,Stile near: SD38413 77053,-2.9452326,54.185532
221,Stile near: SD38489 77074,-2.9440765,54.18573
222,Stile near: SD38670 77242,-2.9413381,54.187261
223,Stile near: SD37691 77122,-2.9563154,54.186071
224,Stile near: SD63209 81200,-2.5658,54.225189
225,Stile near: NY45981 24136,-2.837857,54.609483
226,Stile near: NY55542 12227,-2.6880466,54.5034
227,Stile near: NY55328 12181,-2.6913377,54.502971
228,Stile near: NY53981 11039,-2.7119568,54.492588
229,Stile near: NY50404 21485,-2.768941,54.586116
230,Stile near: NY50917 21747,-2.7610453,54.58852
231,Stile near: NY52158 21597,-2.7418227,54.587287
232,Stile near: NY44902 13795,-2.8526164,54.51644
233,Stile near: NY11946 29487,-3.3662759,54.652767
234,Stile near: NY12146 28877,-3.3630014,54.647316
235,Stile near: NY11977 29234,-3.3657188,54.650491
236,Stile near: NY12151 28871,-3.362925,54.647264
237,Stile near: NY12475 28685,-3.3578429,54.645648
238,Stile near: NY12900 28468,-3.3511887,54.643771
